edge_id,edge_kind,from_id,predicate_id,to_id,layer,anchor_mode,anchor_start_secondary,anchor_end_secondary,anchor_segment_ids,witness_scope,connectivity_role,confidence,note
m022,source_edge,tos.support.thus-spoke-zarathustra.prologue.sun,participates_in,tos.state.thus-spoke-zarathustra.prologue.sun-would-grow-sated-without-triad,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,условная конструкция пресыщения
m023,source_edge,tos.state.thus-spoke-zarathustra.prologue.sun-would-grow-sated-without-triad,concerns,tos.support.thus-spoke-zarathustra.prologue.light,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m024,source_edge,tos.state.thus-spoke-zarathustra.prologue.sun-would-grow-sated-without-triad,concerns,tos.support.thus-spoke-zarathustra.prologue.path,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m025,source_edge,tos.state.thus-spoke-zarathustra.prologue.sun-would-grow-sated-without-triad,prevented_by,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m026,source_edge,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,includes,tos.support.thus-spoke-zarathustra.prologue.zarathustra,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m027,source_edge,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,includes,tos.support.thus-spoke-zarathustra.prologue.eagle,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m028,source_edge,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,includes,tos.support.thus-spoke-zarathustra.prologue.serpent,source_linked,single,"1,1,1,3",,seg.1.1.1.3,de+ru+en,local_chain,1,
m029,source_edge,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,performs,tos.event.thus-spoke-zarathustra.prologue.morning-wait-for-sun,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m030,source_edge,tos.event.thus-spoke-zarathustra.prologue.morning-wait-for-sun,occurs_every,tos.support.thus-spoke-zarathustra.prologue.morning,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m031,source_edge,tos.event.thus-spoke-zarathustra.prologue.morning-wait-for-sun,targets,tos.support.thus-spoke-zarathustra.prologue.sun,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m032,source_edge,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,performs,tos.event.thus-spoke-zarathustra.prologue.receive-overflow-from-sun,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m033,source_edge,tos.event.thus-spoke-zarathustra.prologue.receive-overflow-from-sun,receives,tos.support.thus-spoke-zarathustra.prologue.overflow,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m034,source_edge,tos.event.thus-spoke-zarathustra.prologue.receive-overflow-from-sun,from,tos.support.thus-spoke-zarathustra.prologue.sun,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m035,source_edge,tos.support.thus-spoke-zarathustra.prologue.triad-zarathustra-eagle-serpent,performs,tos.event.thus-spoke-zarathustra.prologue.bless-sun-for-overflow,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m036,source_edge,tos.event.thus-spoke-zarathustra.prologue.bless-sun-for-overflow,blesses,tos.support.thus-spoke-zarathustra.prologue.sun,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m037,source_edge,tos.event.thus-spoke-zarathustra.prologue.bless-sun-for-overflow,for,tos.support.thus-spoke-zarathustra.prologue.overflow,source_linked,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,local_chain,1,
m038,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.receive-overflow-from-sun,prefigures,tos.state.thus-spoke-zarathustra.prologue.overfull-wisdom,source_linked,multi,"1,1,1,4","1,1,1,5",seg.1.1.1.4|seg.1.1.1.5,de+ru+en,reasoning_bridge,1,внешний overflow затем становится внутренним
m039,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,enters_state,tos.state.thus-spoke-zarathustra.prologue.overfull-wisdom,source_linked,single,"1,1,1,5",,seg.1.1.1.5,de+ru+en,local_chain,1,
m040,source_edge,tos.state.thus-spoke-zarathustra.prologue.overfull-wisdom,concerns,tos.support.thus-spoke-zarathustra.prologue.wisdom,source_linked,single,"1,1,1,5",,seg.1.1.1.5,de+ru+en,local_chain,1,
m043,source_edge,tos.support.thus-spoke-zarathustra.prologue.bee,gathers,tos.support.thus-spoke-zarathustra.prologue.honey,source_linked,single,"1,1,1,5",,seg.1.1.1.5,de+ru+en,local_chain,1,
m045,bridge_edge,tos.state.thus-spoke-zarathustra.prologue.overfull-wisdom,leads_to,tos.event.thus-spoke-zarathustra.prologue.need-hands-for-giving,source_linked,multi,"1,1,1,5","1,1,1,6",seg.1.1.1.5|seg.1.1.1.6,de+ru+en,multi_anchor,1,избыток ищет адресата
m046,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.need-hands-for-giving,source_linked,multi,"1,1,1,5","1,1,1,6",seg.1.1.1.5|seg.1.1.1.6,de+ru+en,multi_anchor,1,
m047,source_edge,tos.event.thus-spoke-zarathustra.prologue.need-hands-for-giving,requires,tos.support.thus-spoke-zarathustra.prologue.outstretched-hands,source_linked,multi,"1,1,1,5","1,1,1,6",seg.1.1.1.5|seg.1.1.1.6,de+ru+en,multi_anchor,1,
m048,source_edge,tos.event.thus-spoke-zarathustra.prologue.need-hands-for-giving,motivated_by,tos.state.thus-spoke-zarathustra.prologue.overfull-wisdom,source_linked,multi,"1,1,1,5","1,1,1,6",seg.1.1.1.5|seg.1.1.1.6,de+ru+en,multi_anchor,1,
m049,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m050,source_edge,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,has_mode,tos.support.thus-spoke-zarathustra.prologue.bestowal,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m051,source_edge,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,has_mode,tos.support.thus-spoke-zarathustra.prologue.distribution,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m052,source_edge,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,targets,tos.support.thus-spoke-zarathustra.prologue.humans,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m053,source_edge,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,continues_until,tos.state.thus-spoke-zarathustra.prologue.revaluation-of-joy,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m054,source_edge,tos.state.thus-spoke-zarathustra.prologue.revaluation-of-joy,affects,tos.support.thus-spoke-zarathustra.prologue.wise-among-humans,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m055,source_edge,tos.support.thus-spoke-zarathustra.prologue.wise-among-humans,subset_of,tos.support.thus-spoke-zarathustra.prologue.humans,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m056,source_edge,tos.support.thus-spoke-zarathustra.prologue.wise-among-humans,becomes_glad_of,tos.support.thus-spoke-zarathustra.prologue.folly,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m057,source_edge,tos.state.thus-spoke-zarathustra.prologue.revaluation-of-joy,affects,tos.support.thus-spoke-zarathustra.prologue.poor-among-humans,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m058,source_edge,tos.support.thus-spoke-zarathustra.prologue.poor-among-humans,subset_of,tos.support.thus-spoke-zarathustra.prologue.humans,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m059,source_edge,tos.support.thus-spoke-zarathustra.prologue.poor-among-humans,becomes_glad_of,tos.support.thus-spoke-zarathustra.prologue.wealth,source_linked,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,local_chain,1,
m060,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,leads_to,tos.event.thus-spoke-zarathustra.prologue.descend-into-depth,source_linked,multi,"1,1,1,6","1,1,1,7",seg.1.1.1.6|seg.1.1.1.7,de+ru+en,reasoning_bridge,1,дар требует движения вниз
m061,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.descend-into-depth,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m062,source_edge,tos.event.thus-spoke-zarathustra.prologue.descend-into-depth,destination,tos.support.thus-spoke-zarathustra.prologue.depth,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m063,source_edge,tos.event.thus-spoke-zarathustra.prologue.descend-into-depth,motivated_by,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,source_linked,multi,"1,1,1,6","1,1,1,7",seg.1.1.1.6|seg.1.1.1.7,de+ru+en,multi_anchor,1,
m064,source_edge,tos.support.thus-spoke-zarathustra.prologue.sun,participates_in,tos.event.thus-spoke-zarathustra.prologue.sun-evening-underworld-light,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m065,source_edge,tos.event.thus-spoke-zarathustra.prologue.sun-evening-underworld-light,occurs_in,tos.support.thus-spoke-zarathustra.prologue.evening,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m066,source_edge,tos.event.thus-spoke-zarathustra.prologue.sun-evening-underworld-light,moves_beyond,tos.support.thus-spoke-zarathustra.prologue.sea,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m067,source_edge,tos.event.thus-spoke-zarathustra.prologue.sun-evening-underworld-light,carries,tos.support.thus-spoke-zarathustra.prologue.light,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m068,source_edge,tos.event.thus-spoke-zarathustra.prologue.sun-evening-underworld-light,destination,tos.support.thus-spoke-zarathustra.prologue.underworld,source_linked,single,"1,1,1,7",,seg.1.1.1.7,de+ru+en,local_chain,1,
m069,source_edge,tos.event.thus-spoke-zarathustra.prologue.descent-named-as-go-under,parallels,tos.event.thus-spoke-zarathustra.prologue.descend-into-depth,source_linked,multi,"1,1,1,7","1,1,1,8",seg.1.1.1.7|seg.1.1.1.8,de+ru+en,multi_anchor,1,
m070,source_edge,tos.event.thus-spoke-zarathustra.prologue.descent-named-as-go-under,uses_surface,tos.support.thus-spoke-zarathustra.prologue.go-under,source_linked,multi,"1,1,1,7","1,1,1,8",seg.1.1.1.7|seg.1.1.1.8,de+ru+en,multi_anchor,1,
m071,source_edge,tos.support.thus-spoke-zarathustra.prologue.humans,names_descent_as,tos.support.thus-spoke-zarathustra.prologue.go-under,source_linked,single,"1,1,1,8",,seg.1.1.1.8,de+ru+en,local_chain,1,человеческое имя для нисхождения
m072,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.go-under-to-humans,source_linked,single,"1,1,1,8",,seg.1.1.1.8,de+ru+en,local_chain,1,
m073,source_edge,tos.event.thus-spoke-zarathustra.prologue.go-under-to-humans,targets,tos.support.thus-spoke-zarathustra.prologue.humans,source_linked,single,"1,1,1,8",,seg.1.1.1.8,de+ru+en,local_chain,1,
m074,source_edge,tos.event.thus-spoke-zarathustra.prologue.go-under-to-humans,mirrors,tos.event.thus-spoke-zarathustra.prologue.sun-evening-underworld-light,source_linked,multi,"1,1,1,7","1,1,1,8",seg.1.1.1.7|seg.1.1.1.8,de+ru+en,reasoning_bridge,1,
m075,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.go-under-to-humans,prepares,tos.event.thus-spoke-zarathustra.prologue.request-blessing-from-tranquil-eye,source_linked,multi,"1,1,1,8","1,1,1,9",seg.1.1.1.8|seg.1.1.1.9,de+ru+en,reasoning_bridge,1,
m076,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.request-blessing-from-tranquil-eye,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,
m077,source_edge,tos.event.thus-spoke-zarathustra.prologue.request-blessing-from-tranquil-eye,addresses,tos.support.thus-spoke-zarathustra.prologue.tranquil-eye,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,
m078,source_edge,tos.support.thus-spoke-zarathustra.prologue.tranquil-eye,aspect_of,tos.support.thus-spoke-zarathustra.prologue.sun,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,солнечный образ сужен до ока
m079,source_edge,tos.support.thus-spoke-zarathustra.prologue.tranquil-eye,participates_in,tos.state.thus-spoke-zarathustra.prologue.tranquil-eye-without-envy,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,
m080,source_edge,tos.state.thus-spoke-zarathustra.prologue.tranquil-eye-without-envy,beholds,tos.support.thus-spoke-zarathustra.prologue.all-too-great-happiness,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,
m081,source_edge,tos.state.thus-spoke-zarathustra.prologue.tranquil-eye-without-envy,excludes,tos.support.thus-spoke-zarathustra.prologue.envy,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,
m082,source_edge,tos.event.thus-spoke-zarathustra.prologue.request-blessing-from-tranquil-eye,asks_for,tos.support.thus-spoke-zarathustra.prologue.blessing,source_linked,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,local_chain,1,
m083,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.request-blessing-from-tranquil-eye,prepares,tos.event.thus-spoke-zarathustra.prologue.request-blessing-of-cup,source_linked,multi,"1,1,1,9","1,1,1,10",seg.1.1.1.9|seg.1.1.1.10,de+ru+en,reasoning_bridge,1,
m084,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,performs,tos.event.thus-spoke-zarathustra.prologue.request-blessing-of-cup,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m085,source_edge,tos.event.thus-spoke-zarathustra.prologue.request-blessing-of-cup,addresses,tos.support.thus-spoke-zarathustra.prologue.tranquil-eye,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m086,source_edge,tos.event.thus-spoke-zarathustra.prologue.request-blessing-of-cup,targets,tos.support.thus-spoke-zarathustra.prologue.cup,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m087,source_edge,tos.support.thus-spoke-zarathustra.prologue.cup,participates_in,tos.state.thus-spoke-zarathustra.prologue.cup-wants-to-overflow,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m088,source_edge,tos.state.thus-spoke-zarathustra.prologue.cup-wants-to-overflow,aims_at,tos.support.thus-spoke-zarathustra.prologue.overflow,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m089,source_edge,tos.support.thus-spoke-zarathustra.prologue.cup,participates_in,tos.event.thus-spoke-zarathustra.prologue.golden-water-flows,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m090,source_edge,tos.event.thus-spoke-zarathustra.prologue.golden-water-flows,carries,tos.support.thus-spoke-zarathustra.prologue.water,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m091,source_edge,tos.event.thus-spoke-zarathustra.prologue.golden-water-flows,has_quality,tos.support.thus-spoke-zarathustra.prologue.gold,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m092,source_edge,tos.event.thus-spoke-zarathustra.prologue.golden-water-flows,originates_from,tos.support.thus-spoke-zarathustra.prologue.cup,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m093,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.golden-water-flows,leads_to,tos.event.thus-spoke-zarathustra.prologue.reflection-of-bliss-is-carried,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,reasoning_bridge,1,
m094,source_edge,tos.event.thus-spoke-zarathustra.prologue.reflection-of-bliss-is-carried,carries,tos.support.thus-spoke-zarathustra.prologue.reflection,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m095,source_edge,tos.support.thus-spoke-zarathustra.prologue.reflection,reflects,tos.support.thus-spoke-zarathustra.prologue.bliss,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,
m096,source_edge,tos.support.thus-spoke-zarathustra.prologue.bliss,pertains_to,tos.support.thus-spoke-zarathustra.prologue.sun,source_linked,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,local_chain,1,твоя отрада относится к светилу
m097,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.request-blessing-of-cup,prepares,tos.state.thus-spoke-zarathustra.prologue.cup-wants-to-empty-again,source_linked,multi,"1,1,1,10","1,1,1,11",seg.1.1.1.10|seg.1.1.1.11,de+ru+en,reasoning_bridge,1,
m098,source_edge,tos.support.thus-spoke-zarathustra.prologue.cup,participates_in,tos.state.thus-spoke-zarathustra.prologue.cup-wants-to-empty-again,source_linked,single,"1,1,1,11",,seg.1.1.1.11,de+ru+en,local_chain,1,
m099,source_edge,tos.state.thus-spoke-zarathustra.prologue.cup-wants-to-empty-again,aims_at,tos.support.thus-spoke-zarathustra.prologue.emptiness,source_linked,single,"1,1,1,11",,seg.1.1.1.11,de+ru+en,local_chain,1,
m100,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,enters_state,tos.state.thus-spoke-zarathustra.prologue.zarathustra-wants-to-become-human-again,source_linked,single,"1,1,1,11",,seg.1.1.1.11,de+ru+en,local_chain,1,
m101,source_edge,tos.state.thus-spoke-zarathustra.prologue.zarathustra-wants-to-become-human-again,aims_at,tos.support.thus-spoke-zarathustra.prologue.human,source_linked,single,"1,1,1,11",,seg.1.1.1.11,de+ru+en,local_chain,1,
m102,source_edge,tos.state.thus-spoke-zarathustra.prologue.zarathustra-wants-to-become-human-again,mirrors,tos.state.thus-spoke-zarathustra.prologue.cup-wants-to-empty-again,source_linked,single,"1,1,1,11",,seg.1.1.1.11,de+ru+en,local_chain,1,чаша и Заратустра движутся параллельно
m103,bridge_edge,tos.state.thus-spoke-zarathustra.prologue.zarathustra-wants-to-become-human-again,culminates_in,tos.event.thus-spoke-zarathustra.prologue.beginning-of-zarathustra-going-under,source_linked,multi,"1,1,1,11","1,1,1,12",seg.1.1.1.11|seg.1.1.1.12,de+ru+en,reasoning_bridge,1,
m104,source_edge,tos.support.thus-spoke-zarathustra.prologue.zarathustra,participates_in,tos.event.thus-spoke-zarathustra.prologue.beginning-of-zarathustra-going-under,source_linked,single,"1,1,1,12",,seg.1.1.1.12,de+ru+en,local_chain,1,
m105,source_edge,tos.event.thus-spoke-zarathustra.prologue.beginning-of-zarathustra-going-under,concerns,tos.support.thus-spoke-zarathustra.prologue.go-under,source_linked,single,"1,1,1,12",,seg.1.1.1.12,de+ru+en,local_chain,1,
m106,bridge_edge,tos.event.thus-spoke-zarathustra.prologue.go-under-to-humans,culminates_in,tos.event.thus-spoke-zarathustra.prologue.beginning-of-zarathustra-going-under,source_linked,multi,"1,1,1,8","1,1,1,12",seg.1.1.1.8|seg.1.1.1.12,de+ru+en,reasoning_bridge,1,намеченный спуск становится начавшимся путем
m107,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.solitude-as-ripening,supported_by,tos.state.thus-spoke-zarathustra.prologue.solitary-ripening-10y,distilled_principle,single,"1,1,1,1",,seg.1.1.1.1,de+ru+en,principle_support,1,"уединение не пустота, а созревание"
m109,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.happiness-is-relational,supported_by,tos.state.thus-spoke-zarathustra.prologue.solar-happiness-requires-recipients,distilled_principle,single,"1,1,1,2",,seg.1.1.1.2,de+ru+en,principle_support,1,
m110,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.overflow-can-be-received,supported_by,tos.event.thus-spoke-zarathustra.prologue.receive-overflow-from-sun,distilled_principle,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,principle_support,1,
m111,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.blessing-is-reciprocal,supported_by,tos.event.thus-spoke-zarathustra.prologue.bless-sun-for-overflow,distilled_principle,single,"1,1,1,4",,seg.1.1.1.4,de+ru+en,principle_support,1,
m112,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.wisdom-can-overfill,supported_by,tos.state.thus-spoke-zarathustra.prologue.overfull-wisdom,distilled_principle,single,"1,1,1,5",,seg.1.1.1.5,de+ru+en,principle_support,1,
m113,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.excess-seeks-recipients,supported_by,tos.event.thus-spoke-zarathustra.prologue.need-hands-for-giving,distilled_principle,multi,"1,1,1,5","1,1,1,6",seg.1.1.1.5|seg.1.1.1.6,de+ru+en,principle_support,1,
m114,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.gift-has-dual-mode,supported_by,tos.event.thus-spoke-zarathustra.prologue.bestow-and-distribute,distilled_principle,single,"1,1,1,6",,seg.1.1.1.6,de+ru+en,principle_support,1,
m115,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.descent-is-required-by-gift,supported_by,tos.event.thus-spoke-zarathustra.prologue.descend-into-depth,distilled_principle,multi,"1,1,1,6","1,1,1,7",seg.1.1.1.6|seg.1.1.1.7,de+ru+en,principle_support,1,дар и катабасис сцеплены
m116,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.go-under-is-human-name,supported_by,tos.event.thus-spoke-zarathustra.prologue.descent-named-as-go-under,distilled_principle,multi,"1,1,1,7","1,1,1,8",seg.1.1.1.7|seg.1.1.1.8,de+ru+en,principle_support,1,
m117,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.tranquil-vision-without-envy,supported_by,tos.state.thus-spoke-zarathustra.prologue.tranquil-eye-without-envy,distilled_principle,single,"1,1,1,9",,seg.1.1.1.9,de+ru+en,principle_support,1,
m118,principle_edge,tos.principle.thus-spoke-zarathustra.prologue.reflected-light-can-be-carried,supported_by,tos.event.thus-spoke-zarathustra.prologue.reflection-of-bliss-is-carried,distilled_principle,single,"1,1,1,10",,seg.1.1.1.10,de+ru+en,principle_support,1,
